X	Y

4720,103612549064564	56357,429048690937640



4940,532791632182125	57591,325466402980960



4923,974922283931846	57504,476349563643460



4929,083201125413325	57487,235875912454500



4887,336232662271868	57481,398766226710000



5075,178115687662284	57333,525320854649180



5075,178115687662284	57357,935052267741410



7090,257793240865794	57084,840136296785200



7062,954923570878236	56833,938393104326680



7966,690083185593722	56631,502348514673940



8058,639102332258517	56114,227209595446760



8617,340168945080222	55966,353764223378680



8638,830169588554782	55957,426749821570410



8697,135007399945607	55862,794820067916590



8767,310329525005727	55946,990705231910400



8985,978033145542213	55913,029339787608480



8993,728525180893484	55881,721206018642990



8721,335819951673330	56073,190559683578620



8725,211065969348056	56010,574292145647630



8913,688940465386622	56339,834810816370010



8820,330740948656967	56192,492011779366300



8527,504920353510898	56707,738538652658460



8485,757951890369440	56531,481046592991340



9731,747793884338535	55968,299467451957760



9800,690083185592812	55906,130937431735220



10759,138530972155420	55948,405762125425100



10767,593613192539120	55460,752844675625960



10875,288362670547940	55245,050641709291080



10669,303282380586100	55575,018688826770820



10691,674020755348460	55486,223868758854220



10681,985905711160740	55509,572307501810430



11077,750492035351270	56144,650932805961930



11687,005904424213440	56060,278165530275140



11974,371151085362730	55803,185548428700720



12088,690908606791710	55463,052312127583720



12390,568852775479170	55851,828129143192200



12929,717541753665500	55239,390414135239560



13064,822709733534790	55086,835125041907300



13271,864675301045280	54775,533672946112340



13337,039267416497750	54749,178238304441040



13590,936480288630260	55293,162576088718200



13915,645006756471050	55736,771847727941350



14576,756396459564710	55130,878770852483280



14086,752872887354900	55233,553304449502320



13990,224017537981130	54948,076640660314300



14477,409180370063040	54566,552990223965020



14627,486889781863280	54934,810482283639430



14629,424512790699740	55007,155265964465800



14466,419433787685190	55169,969717535772360



14609,519840063549050	55722,798160904501860



14602,650085759487410	55699,272840049852680



14693,189924536089160	55593,851101483167440



14771,996476427790180	55637,010336735300370



14879,974922283930940	55606,763495636470900



14892,657545614505580	55592,082280366274060



14887,020824134251600	55569,181579141033580



14696,712875461247680	55840,861438218467810



14722,078122122396960	55838,031324431445680



14543,992952855580370	55805,661897992344160



15440,437464359332810	55501,258848252429740



15287,012951568633070	54819,837109685737230



15726,745825742935270	54582,826144499362270



15823,519427352950520	54860,873759597605380



15736,433940787122990	54810,910095283928970



15901,200495252718610	54947,722876436942900



15842,895657441327780	55017,143573036410090



16089,923116009398660	54959,927742143489020



16002,309186804799540	55009,360760122093780



16083,229509251596030	55302,006681673177810



16194,026315847864680	55127,164246507018100



16173,593200481938770	55120,265844151144840



16184,690495896191350	55859,080295722444140



17160,293854384162840	54455,824788306606940



17222,473938213228390	54744,933067623904210



17115,552377634634470	54838,055967189713560



17613,237794527813090	54789,861123992930520



21523,861564439434000	54496,861438218467810



21379,596724054150400	54352,442726262830540



21501,490826064669820	54562,307819543428200



21543,413942074072110	54615,903099385213860



21732,841153015782760	54513,488356717243730



22109,053361705337010	54892,889421813328220



22149,038854705901030	54948,607286995385950



22147,101231697062760	55006,270855406022740



22716,723446177878940	54806,488042491706440



22718,661069186717210	54676,479690400236000



22649,611231053586380	54646,232849301406530



22776,085169266818410	54890,236190137991800



22721,655577473102310	54890,236190137991800



22758,118119548504180	55254,248511517122100



8519,754428318159626	56608,153909771710460



8612,760332742373066	55986,341442844241100



8732,961558004699328	55989,525320854649180



9023,321312952233712	56333,290172683868150



8884,272300240303594	56212,479690400236000



8912,984350280354192	55943,099298774752240



8983,159672405414312	55941,330477657866140



8907,876071438873624	55796,994674519577530



8792,499428639895996	55862,441055844537920



9459,883531293891792	56060,278165530275140



9720,298203377569735	55994,301137870250380



9828,873690586869998	55953,004697029340600



9798,928607723013556	55933,547664743542560



9783,603771198570030	55942,391770327994890



9754,999269990392349	55938,854128094215410



9775,500984070702543	55914,798160904501860



9821,651641190292139	55915,505689351259200



9827,288362670547940	55890,388429491409620



9835,391149798415427	55863,502348514673940



10220,870579725258722	55977,851101483167440



10408,712462750649138	55951,589640135833180



10738,529268059972310	55940,446067099415820



10486,569678196676250	55617,907068672881000



11068,169925823036460	56104,852457675922780



11051,259761382269060	55512,579303400525530



10806,874516008067080	55489,230864657569320



10789,435908928528080	55474,549649387379760



10756,144022685770320	55415,117259859849580



10774,111072404082730	55373,997701130625500



10754,206399676932050	55355,248197291584800



10851,508443925720710	55325,532002527819720



10856,264427674686890	55254,071629405436400



10824,734016894508390	55263,446381324960380



11704,444511503752440	56041,882425914613120



11880,132213837343440	55982,803800610461620



11640,326804665848610	55585,891406457158160



11667,629674335836170	55578,733213172243270



11758,345660658695120	55465,351779579548740



11786,705415606229510	55394,422052792229800



11814,360580368733280	55377,712225476097960



11970,848200160202400	55507,626604273231350



11994,980413997545840	55550,255193190299900



12005,549266773025010	55605,879085078027860



12157,104755269270750	55597,742507940325600



12089,747793884338540	55491,530332109527080



12400,609262912183110	55810,437715007952640



13538,268363957495240	55514,348124517418910



14050,290330811953030	55724,920746244773910



13921,986318421759280	55616,492011779366300



13935,549679483623550	55606,763495636470900



14637,703447464824420	55688,483031236821260



14800,884674014097980	55676,985693977032500



14045,710494609245870	55049,159235252132930



14477,937623008838270	55134,947059421334420



14598,950987288069880	55132,470709857690960



14736,874516008067080	55113,190559683578620



14598,950987288069880	55018,381747818231820



14532,719509895068770	54947,722876436942900



15312,906640868555770	54842,301137870250380



15352,187543684085540	54957,451392579838280



15809,075328559794800	54975,493367972121630



15801,853279163218760	54873,432389527530180



15780,823122444135150	54860,696877485912410



15657,167544971032840	55309,081966140736770



16076,007459855018170	55400,436044589652740



16077,416640225083030	55274,589954361370480



16348,047869991723930	55376,827814917654900



16066,671639903346660	55013,605930802630610



16111,589264199130410	54991,235875912454500



16559,248777955042900	54867,772161953478640



16732,294267094763200	55175,276180886445220



17196,051806274532280	55117,435730364115440



17260,345660658695120	54883,868434117182920



17228,815249878516620	54876,616267537930980



17272,499841350494540	54825,674219371481740



17201,160085116014670	54772,703559159090220



17242,378610940380900	54726,537328008242180



17215,780331455425770	54690,099613000296820



17723,927052292208830	55015,905398254588360



17727,978445856140750	54986,283176785160320



17686,936067578033540	54874,493682197666200



17780,470414641018580	54780,486372073406530



17606,015745131237050	54758,552990223965020



17533,442956072947710	54649,239845200114360



17482,712462750649140	54683,201210644416280



19824,154593402399770	54810,025684725485920



19822,921560578593930	54448,749503839040700



19933,189924536087350	54318,658242930214330



20127,725414319284030	54406,038006104616220



21477,358612227326380	54214,038006104616220



21575,189099114890270	54486,425393628815080



21947,457463072387330	54754,838465878492570



22146,748936604544720	54856,805471028754260



22466,877626869678350	54724,945389003041780



22647,321312952233710	54720,700218322504950



22720,950987288069880	54848,315129667680600



22806,030252130673030	54907,570637083517800



22822,411973932667020	54946,661583766806870
